timestamp, acc_x, acc_y, acc_z, gyro_x, gyro_y, gyro_z
317220.33251637506, -0.017755, 0.005155, 0.405711, 0.654453, -0.047930, 0.207072
317220.3425948751, -0.019551, -0.000655, 0.410611, 0.561093, -0.113150, 0.201385
317220.3524430834, -0.017026, -0.010047, 0.394355, 0.448806, -0.111912, 0.196364
317220.36243275006, -0.013403, -0.018629, 0.363515, 0.329683, -0.052567, 0.195807
317220.37264500005, -0.007635, -0.024352, 0.337109, 0.203880, 0.031065, 0.196281
317220.38239275006, -0.000181, -0.029858, 0.317395, 0.075269, 0.115374, 0.199734
317220.3921376251, 0.000920, -0.041249, 0.299359, -0.047414, 0.187687, 0.192854
317220.4025032917, 0.004922, -0.051302, 0.277434, -0.143660, 0.227482, 0.193807
317220.41252725007, 0.018261, -0.067174, 0.243818, -0.188595, 0.235410, 0.195266
317220.4224285001, 0.035209, -0.085484, 0.205153, -0.187299, 0.197727, 0.193389
317220.4425290417, 0.074769, -0.111342, 0.126636, -0.097199, 0.024700, 0.174471
317220.4524765834, 0.086514, -0.108289, 0.086205, -0.049889, -0.071879, 0.172853
317220.46251554176, 0.100199, -0.096169, 0.043824, 0.000911, -0.154683, 0.189315
317220.4725007917, 0.117641, -0.076698, -0.010046, 0.065980, -0.203647, 0.230836
317220.48252104176, 0.133776, -0.056893, -0.062257, 0.127087, -0.236134, 0.293829
317220.4925120001, 0.144008, -0.036227, -0.106958, 0.174714, -0.224497, 0.375207
317220.50255812507, 0.150243, -0.020521, -0.150869, 0.210448, -0.135126, 0.476885
317220.5125397084, 0.159124, -0.018749, -0.183336, 0.228700, -0.015248, 0.587079
317220.5225255001, 0.158738, -0.023022, -0.174391, 0.206171, -0.000771, 0.682275
317220.5325925417, 0.133473, -0.027199, -0.141023, 0.120730, -0.102089, 0.727238
317220.5426207501, 0.099366, -0.042198, -0.139517, -0.001799, -0.219094, 0.735062
317220.55256766675, 0.072707, -0.064366, -0.184558, -0.112438, -0.291483, 0.718621
317220.5621685001, 0.059184, -0.085920, -0.260156, -0.188647, -0.309681, 0.687278
317220.5725216251, 0.055149, -0.094788, -0.331171, -0.240196, -0.273240, 0.656419
